quote;author
Desire is a contract with yourself to be unhappy until you get what you want.;Naval Ravikant
Live as if you were living for the second time, and as if you acted the first time as wrongly as you are about to act now.;Viktor Frankl
The happiness of your life depends upon the quality of your thoughts;Marcus Aurelius
Don’t ascribe as malice what can be explained by incompetence.;Tim Ferris
Your calm mind is the ultimate weapon against your challenges. So relax.;Bryant McGill
Don't let yesterday take up too much of today.;Will Rogers
You don't have to control your thoughts, you just have to stop letting them control you.;Dan Millman
Life is 10% what happens to us and 90% how we react to it.;Charles R. Swindoll
Make the best use of what is in your power, and take the rest as it happens.; Epictetus
Pause and remember — If you empty yourself of yesterday's sorrows, you will have much more room for today's joy.; Jenni Young
Quality is not an act, it is a habit.; Aristotle
Review your day each night to appreciate what went well and to be aware of what you wish to do differently next time;
Grant yourself a moment of peace, and you will understand how foolishly you have scurried about.; Søren Kierkegaard
Courage doesn't always roar. Sometimes courage is the little voice at the end of the day that says I'll try again tomorrow.; Mary Anne Radmacher
Success is not the key to happiness. Happiness is the key to success.; Albert Schweitzer
Reading is to the mind, what exercise is to the body.; Joseph Addison
The time you enjoy wasting is not wasted time.; Bertrand Russell
TV gives everyone an image, but books give you imagination.;
Worry does not empty tomorrow of its sorrow, it empties today of its strength.; Corrie ten Boom
It’s not what happens to you, but how you react to it that matters; Epictetus
Not caring about temporary things, and obsessing over permanent things, is underrated.;Morgan Housel
The harder we cling to an identity. The harder it becomes to break away from it and improve.;
Go outside for 10 min in morning.;
Wisdom acquisition is a moral duty. Be a learning machine. Learn the method of learning.;
Don't explain your philosophy. Embody it.; Epictetus
Dieting actually leads to dieters having higher levels of hunger signals even a year after finishing the diet compared to if they had not gone on diet.;
The most valuable personal finance asset is not needing to impress anyone.;
If you are having trouble making yourself happy, make someone else happy.;
The less you want something. The less you will think about it. The more you are going to do it the Natural way. The good way. Higher quality way.;
Anticipate problems but don't let it make you sad. Treat it like insurance.;
Not everything that is faced can be changed, but nothing can be changed until it is faced.; James Baldwin
In the case of good books, the point is not to see how many of them you can get through, but rather how many can get through to you.; Mortimer J. Adler
Journaling is paying attention to the inside for the purpose of living well from the inside out.; Lee Wise
Can I do anything about this? If not, let it go.;
Review your day each night to appreciate what went well and to be aware of what you wish to do differently next time.;
Often we delay the hard decision because it’s uncomfortable.;
If you are pained by external things, it is not they that disturb you, but your own judgment of them. And it is in your power to wipe out that judgment now; Marcus Aurelius
Generally things like weather have little impact on well being even though people think it has huge impact.
To regard anyone except yourself as responsible for your judgement is to be a slave, not a free man.;
You have power over your mind—not outside events. Realize this, and you will find strength.; Marcus Aurelius
De-stress by spending time with loved ones and going to bed early.;
We suffer more in imagination than in reality.; Seneca
It is not events that disturb people, it is their judgements concerning them.; Epictetus
A personal journal is an ideal environment in which to 'become'. It is a perfect place for you to think, feel, discover, expand, remember, and dream.; Brad Wilcox
Avoid self pity. It's not going to improve your situation. Avoiding it gives you a huge advantage over others.;
Being poor makes you miserable. Being rich enhances your life satisfaction but does not improve experienced well being.;
The best revenge is to be unlike him who performed the injustice; Marcus Aurelius
Happiness is the experience of spending time with people you love and who love you.;
Wisdom acquisition is a moral duty. Be a learning machine. Learn the method of learning.;
Talk to yourself as if you are talking to someone you love and respect. Would you tell them what you just told yourself?;
To enjoy life, we must touch much of it lightly; Voltaire
People who live longer than others often move naturally, stop eating when 80% full, have wine with family, love their family, stress only about things they can control, and volunteer or belong to a faith or non-faith community;
If you think you can or you think you can’t, you’re right.;Henry Ford
True happiness is… to enjoy the present, without anxious dependence upon the future; Seneca
Fortify yourself with moderation, for this is an impregnable fortress.; Epictetus
How ridiculous and how strange to be surprised at anything which happens in life.; Marcus Aurelius
People are not evil. They just make mistakes. Does not take away from all the good they did.;
He who fears death will never do anything worth of a man who is alive.; Seneca
When making a decision, ask will this minimise my regrets at 90?;
Reading, and fiction reading, in particular, enables us to simulate the consciousness of another person.;
A life without complication isn’t really a life.;
The more that you read, the more things you will know. The more that you learn, the more places you'll go.; Dr. Seuss
Fiction reading, in particular, enables us to simulate the consciousness of another person.;
Embrace conflict. Thoughtful conflict is the basis of life!;
The bitterness of low quality remains long after the sweetness of the low price.;
Each day provides its own gifts.; Marcus Aurelius
Before saying something,  ask "Is it true? Is it kind? Is it necessary?;
If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it, and this you have the power to revoke at any moment.; Marcus Aurelius
The world belongs to those who read.; Rick Holland
The best time to begin keeping a journal is whenever you decide to.;
Eat only foods your great-grandmother would recognize as food;
A man Who doesn't know what happened before he was born goes through life as a child;
We cannot choose our external circumstances, but we can always choose how we respond to them.; Epictetus
We tend to overestimate what we can do in a day and underestimate what we can achieve in a decade.;
Don’t ascribe as malice what can be explained by incompetence;
Happiness is the experience of spending time with people you love and who love you.;
Many people fail to progress in life because the lack consistency.;
Writing in a journal reminds you of your goals and of your learning in life. It offers a place where you can hold a deliberate, thoughtful conversation with yourself.; Robin Sharma
Have a maximum of 6 rules for anything (such as eating), more than that and you will not remember them.;
Difficulties strengthen the mind, as labor does the body.; Seneca
A lot of people seem to have a necessary level of stress, and when their life is going well they make up imaginary problems to fill the void.;
There is freedom in being a writer and writing. It's fulfilling your function. I used to think freedom is doing what you want, but instead it means knowing who you are, what you are meant to be doing on this earth and then simply doing it. There is freedom in constraints and focus.; Natalie Goldberg
Do everything you want to do but with less angst, less emotion and less suffering. Everything takes times.;
We have two ears and one mouth so that we can listen twice as much as we speak; Epictetus
Logic doesn’t persuade people. Clarity, storytelling, and appealing to self-interest do.;
The happiness of your life depends upon the quality of your thoughts.; Marcus Aurelius
Journal daily. Journaling helps you process things and slow things down. Key to learning is reflection. Day to day we get peoples abstraction of knowledge. Journaling allows you to evaluate it and make an action plan.;
God give me the serenity to accept things I can’t change, the courage to change things I can and the wisdom to know the difference.;
Act as if what you do makes a difference. It does.; William James
The bad news is that you are falling through the air without a parachute. The good news is that there is no ground.;
Waste no more time arguing what a good man should be. Be one; Marcus Aurelius
You don't have to burn books to destroy a culture. Just get people to stop reading them.; Ray Bradbury
Miswanting is caused by affective forecasting. You want something (eg a new car?) because you thinks it will bring you well being but it won’t. After a month you will feel the same as before.;
Journal writing is a voyage to the interior.; Christina Baldwin
Will I care about this in a year's time? If not, let it go.;
Things that do impact your well being is chronic pain, constant exposure to loud noise and severe depression. Being disabled is not one.;
Learning is a treasure that will follow its owner everywhere.;
Your value doesn’t decrease based on someone’s inability to see your worth.;
Happiness is the gap between expectations and reality.;
Don't ignore your dreams. Don't work too much. Say what you think; cultivate friendships. Be happy.;
Sometimes your greatest hopes are destroyed to prepare you for something better.;
Happiness is the gap between expectations and reality.;
The key is to keep company only with people who uplift you, whose presence calls forth your best; Epictetus
It's not how much we give but how much love we put into giving.; Mother Teresa
Life can only be understood backwards, but it must be lived forwards.; Søren Kierkegaard
Opening a book is like opening a door to another world, one in which you learn and experience without algorithms dictating your journey.;Exercise reduces your weight set point by reducing cortisol levels and improving insulin sensitivity.;
Man is disturbed not by things, but by the views he takes of them.; Epictetus
Keeping a journal of what’s going on in your life is a good way to help you distill what’s important and what’s not.;
Life is too short to worry about what others say or think about you. So, read on and live it like you mean it;
